N,nworkers,policy,tileSize,chunkSize,time
2000,1,3,8,128,2297.14
2000,1,3,16,32,2247.19
2000,1,3,16,64,2249.34
2000,1,3,16,128,2248.86
4000,1,1,1,1,55621.8
4000,1,1,4,1,55007
4000,1,1,8,1,51948.9
4000,1,1,16,1,52260.3
4000,1,2,1,1,54289.4
4000,1,2,4,1,52613.3
4000,1,2,8,1,52300.9
4000,1,2,16,1,53447.1
4000,1,3,1,32,54547.1
4000,1,3,1,64,54537.1
4000,1,3,1,128,54770.6
4000,1,3,4,32,52907.4
4000,1,3,4,64,52837
4000,1,3,4,128,52556.5
4000,1,3,8,32,52179.8
4000,1,3,8,64,52733.6
4000,1,3,8,128,52010.2
4000,1,3,16,32,52674.2
4000,1,3,16,64,51973
4000,1,3,16,128,51858.6
6000,1,1,1,1,258171
6000,1,1,4,1,244120
6000,1,1,8,1,244564
6000,1,1,16,1,244661
6000,1,2,1,1,255685
6000,1,2,4,1,244527
6000,1,2,8,1,243333
6000,1,2,16,1,243584
6000,1,3,1,32,246300
6000,1,3,1,64,255502
6000,1,3,1,128,254174
6000,1,3,4,32,243507
6000,1,3,4,64,244040
6000,1,3,4,128,245800
6000,1,3,8,32,253805
6000,1,3,8,64,245475
6000,1,3,8,128,245090
6000,1,3,16,32,244676
6000,1,3,16,64,244139
6000,1,3,16,128,244513
